timestamp,area_id,leader_id,group_members,group_size,group_confidence,area_quality,confidence_weighted_quality,gt_count,pred_count,member_count_check
000072,12_9,5,5;20,2,0.993333,1.000000,0.993333,3.000000,3.000000,2
000072,13_2,11,11;2,2,0.984331,1.000000,0.984331,3.000000,3.000000,2
000072,13_0,2,2,1,0.965071,1.000000,0.965071,2.000000,2.000000,1
000072,14_1,1,1,1,0.937491,1.000000,0.937491,2.000000,2.000000,1
000072,11_7,9,9;10,2,0.984367,1.000000,0.984367,2.000000,2.000000,2
000072,13_3,11,11,1,0.854979,1.000000,0.854979,2.000000,2.000000,1
000072,14_3,8,1;8,2,0.943908,1.000000,0.943908,2.000000,2.000000,2
000072,15_4,8,8,1,0.924505,0.500000,0.462253,2.000000,1.000000,1
000072,14_10,7,7,1,0.911791,0.500000,0.455896,2.000000,1.000000,1
000072,12_4,10,10,1,0.826758,0.500000,0.413379,2.000000,1.000000,1
000072,17_5,12,12;4,2,0.841218,0.500000,0.420609,2.000000,1.000000,2
000072,15_3,1,8;1,2,0.962842,0.000000,0.000000,2.000000,0.000000,2
000072,14_11,16,7;16,2,0.877632,1.000000,0.877632,1.000000,2.000000,2
000072,16_7,12,12,1,0.963698,1.000000,0.963698,1.000000,1.000000,1
000072,14_9,7,7,1,0.948342,1.000000,0.948342,1.000000,1.000000,1
000072,12_11,20,16;20,2,0.985982,1.000000,0.985982,1.000000,1.000000,2
000072,15_6,4,4,1,0.912521,1.000000,0.912521,1.000000,1.000000,1
000072,12_5,10,10,1,0.900520,1.000000,0.900520,1.000000,1.000000,1
000072,11_5,10,10;9,2,0.979179,1.000000,0.979179,1.000000,1.000000,2
000072,16_8,4,12;4,2,0.970822,1.000000,0.970822,1.000000,1.000000,2
000072,15_2,1,1;8,2,0.970775,1.000000,0.970775,1.000000,1.000000,2
000072,17_7,12,12,1,0.842281,1.000000,0.842281,1.000000,1.000000,1
000072,11_8,19,9;19,2,0.956908,1.000000,0.956908,1.000000,1.000000,2
000072,12_3,11,11,1,0.829625,1.000000,0.829625,1.000000,1.000000,1
000072,11_4,10,10,1,0.822147,1.000000,0.822147,1.000000,1.000000,1
000072,12_7,10,10,1,0.805182,1.000000,0.805182,1.000000,1.000000,1
000072,15_8,7,7;4,2,0.958073,1.000000,0.958073,1.000000,1.000000,2
000072,16_4,4,4;12,2,0.928386,1.000000,0.928386,1.000000,1.000000,2
000072,18_7,12,12;4,2,0.260610,0.000000,0.000000,1.000000,1.000000,2
000072,13_9,20,20;7,2,0.968967,0.000000,0.000000,1.000000,0.000000,2
000072,15_9,7,7,1,0.847693,0.000000,0.000000,1.000000,0.000000,1
000072,16_5,4,4;12,2,0.967168,0.000000,0.000000,1.000000,0.000000,2
000072,10_6,19,19,1,0.946436,0.000000,0.000000,0.000000,0.000000,1
000072,6_13,14,14,1,0.942759,0.000000,0.000000,0.000000,0.000000,1
000072,6_12,14,14,1,0.910028,0.000000,0.000000,0.000000,0.000000,1
