rho_bin_left,rho_bin_right,rho_mid,grid_count,grid_ratio,f_rho_sigmoid_th_0.5,f_rho_sigmoid_th_1,f_rho_sigmoid_th_2,f_rho_sigmoid_th_3,f_rho_sigmoid_th_4
31.750000,32.000000,31.875000,61,0.000077,1.000000,1.000000,1.000000,1.000000,1.000000
32.000000,32.250000,32.125000,10,0.000013,1.000000,1.000000,1.000000,1.000000,1.000000
32.250000,32.500000,32.375000,13,0.000016,1.000000,1.000000,1.000000,1.000000,1.000000
32.500000,32.750000,32.625000,6,0.000008,1.000000,1.000000,1.000000,1.000000,1.000000
32.750000,33.000000,32.875000,0,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
33.000000,33.250000,33.125000,0,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
33.250000,33.500000,33.375000,0,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
33.500000,33.750000,33.625000,42,0.000053,1.000000,1.000000,1.000000,1.000000,1.000000
33.750000,34.000000,33.875000,3,0.000004,1.000000,1.000000,1.000000,1.000000,1.000000
34.000000,34.250000,34.125000,13,0.000016,1.000000,1.000000,1.000000,1.000000,1.000000
34.250000,34.500000,34.375000,21,0.000027,1.000000,1.000000,1.000000,1.000000,1.000000
