line_no,frame_index,trace_layer,event,request_id,source_node,target_node,tb_size,subchannel_start,subchannel_num,slot,harq_id,sinr,tbler,reason,raw_event,timestamp,area_id,upload_type,plan_index,pkt_id,matched
2861,1,PHY,PSSCH_DECODE_FAIL,99,21,12,1945,,,,7,5.78382,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=99 txRnti=21 sender_l2_id=21 receiver_l2_id=12 harq_id=7 tb_size=1945 tbler=1 sinr=5.78382 sinrMin=0.0304828 reason=decode_fail,000062,11_8,member_to_leader,99,99,1
2862,1,HARQ,HARQ_NACK,99,21,12,,,,,7,,,,[NRSL_HARQ_EVENT] event=HARQ_NACK request_ids=99 txRnti=21 sender_l2_id=21 receiver_l2_id=12 rxRnti=12 harq_id=7 bwp_id=0,000062,11_8,member_to_leader,99,99,1
2864,1,PHY,PSSCH_DECODE_FAIL,105,5,16,4069,,,,8,35.9535,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=105 txRnti=5 sender_l2_id=5 receiver_l2_id=16 harq_id=8 tb_size=4069 tbler=1 sinr=35.9535 sinrMin=4.91835 reason=decode_fail,000062,16_5,member_to_leader,105,105,1
2865,1,HARQ,HARQ_NACK,105,5,16,,,,,8,,,,[NRSL_HARQ_EVENT] event=HARQ_NACK request_ids=105 txRnti=5 sender_l2_id=5 receiver_l2_id=16 rxRnti=16 harq_id=8 bwp_id=0,000062,16_5,member_to_leader,105,105,1
2969,1,PHY,PSSCH_DECODE_FAIL,102,19,1,2083,,,,9,0.0228634,1,sci2_decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=102 txRnti=19 sender_l2_id=19 receiver_l2_id=1 harq_id=9 tb_size=2083 tbler=1 sinr=0.0228634 sinrMin=0.019234 reason=sci2_decode_fail,000062,15_9,leader_to_rsu,102,102,1
3030,1,PHY,PSSCH_DECODE_FAIL,63,14,17,1945,,,,10,22.2909,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=63 txRnti=14 sender_l2_id=14 receiver_l2_id=17 harq_id=10 tb_size=1945 tbler=1 sinr=22.2909 sinrMin=15.1722 reason=decode_fail,000062,12_9,member_to_leader,63,63,1
3031,1,HARQ,HARQ_NACK,63,14,17,,,,,10,,,,[NRSL_HARQ_EVENT] event=HARQ_NACK request_ids=63 txRnti=14 sender_l2_id=14 receiver_l2_id=17 rxRnti=17 harq_id=10 bwp_id=0,000062,12_9,member_to_leader,63,63,1
3033,1,PHY,PSSCH_DECODE_FAIL,119,3,21,3890,,,,10,61278.9,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=119 txRnti=3 sender_l2_id=3 receiver_l2_id=21 harq_id=10 tb_size=3890 tbler=1 sinr=61278.9 sinrMin=1.60402 reason=decode_fail,000062,11_6,member_to_leader,119,119,1
3034,1,HARQ,HARQ_NACK,119,3,21,,,,,10,,,,[NRSL_HARQ_EVENT] event=HARQ_NACK request_ids=119 txRnti=3 sender_l2_id=3 receiver_l2_id=21 rxRnti=21 harq_id=10 bwp_id=0,000062,11_6,member_to_leader,119,119,1
3114,1,PHY,PSSCH_DECODE_FAIL,110,5,1,4069,,,,9,1.47422,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=110 txRnti=5 sender_l2_id=5 receiver_l2_id=1 harq_id=9 tb_size=4069 tbler=1 sinr=1.47422 sinrMin=0.459583 reason=decode_fail,000062,16_4,leader_to_rsu,110,110,1
3115,1,HARQ,HARQ_NACK,110,5,1,,,,,9,,,,[NRSL_HARQ_EVENT] event=HARQ_NACK request_ids=110 txRnti=5 sender_l2_id=5 receiver_l2_id=1 rxRnti=1 harq_id=9 bwp_id=0,000062,16_4,leader_to_rsu,110,110,1
3174,1,PHY,PSSCH_DECODE_FAIL,101,3,1,2083,,,,11,3.84607,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=101 txRnti=3 sender_l2_id=3 receiver_l2_id=1 harq_id=11 tb_size=2083 tbler=1 sinr=3.84607 sinrMin=3.43135 reason=decode_fail,000062,11_4,leader_to_rsu,101,101,1
3175,1,HARQ,HARQ_NACK,101,3,1,,,,,11,,,,[NRSL_HARQ_EVENT] event=HARQ_NACK request_ids=101 txRnti=3 sender_l2_id=3 receiver_l2_id=1 rxRnti=1 harq_id=11 bwp_id=0,000062,11_4,leader_to_rsu,101,101,1
