frame_index,timestamp,request_id,source_node,target_node,area_id,upload_type,planned_bytes,rlc_tx_count,rlc_rx_count,rlc_drop_count,phy_schedule_count,pscch_ok_count,pscch_fail_count,pssch_ok_count,pssch_fail_count,harq_ack_count,harq_nack_count,harq_timeout_count,cam_received,terminal_state,slot_index,stage,scheduled_delay_ms,sc_start,sc_num
2,000064,112,16,21,12_11,leader_to_rsu,2000,7,6,0,0,0,0,6,0,0,0,0,0,rlc_rx_only,2,leader_to_rsu,30.000000,4,1
2,000064,113,11,21,12_3,leader_to_rsu,2000,7,6,0,0,0,0,6,0,0,0,0,0,rlc_rx_only,2,leader_to_rsu,30.000000,5,1
2,000064,114,10,21,12_4,leader_to_rsu,2000,5,5,0,0,0,0,5,0,0,0,0,1,application_received,2,leader_to_rsu,30.000000,6,1
2,000064,115,10,21,12_5,leader_to_rsu,2000,6,6,0,0,0,0,6,0,0,0,0,1,application_received,2,leader_to_rsu,30.000000,7,1
2,000064,116,20,21,12_7,leader_to_rsu,2000,7,7,0,0,0,0,7,0,0,0,0,1,application_received,2,leader_to_rsu,30.000000,8,1
2,000064,117,5,21,12_9,leader_to_rsu,2000,7,6,0,0,0,0,6,0,0,0,0,0,rlc_rx_only,2,leader_to_rsu,30.000000,9,1
2,000064,118,2,21,13_0,leader_to_rsu,2000,7,4,0,0,0,0,4,0,0,0,0,0,rlc_rx_only,3,leader_to_rsu,40.000000,0,1
2,000064,119,11,21,13_2,leader_to_rsu,2000,5,5,0,0,0,0,5,0,0,0,0,1,application_received,3,leader_to_rsu,40.000000,1,1
2,000064,120,11,21,13_3,leader_to_rsu,2000,6,6,0,0,0,0,6,0,0,0,0,1,application_received,3,leader_to_rsu,40.000000,2,1
2,000064,121,1,21,14_1,leader_to_rsu,2000,6,4,0,0,0,0,4,0,0,0,0,0,rlc_rx_only,3,leader_to_rsu,40.000000,3,1
2,000064,122,7,21,14_10,leader_to_rsu,2000,6,6,0,0,0,0,6,0,0,0,0,1,application_received,3,leader_to_rsu,40.000000,4,1
2,000064,123,7,21,14_11,leader_to_rsu,2000,5,5,0,0,0,0,5,0,0,0,0,1,application_received,3,leader_to_rsu,40.000000,5,1
2,000064,124,1,21,14_3,leader_to_rsu,2000,5,5,0,0,0,0,5,0,0,0,0,1,application_received,3,leader_to_rsu,40.000000,6,1
2,000064,125,7,21,14_9,leader_to_rsu,2000,6,6,0,0,0,0,6,0,0,0,0,1,application_received,3,leader_to_rsu,40.000000,7,1
2,000064,126,1,21,15_2,leader_to_rsu,2000,6,6,0,0,0,0,6,0,0,0,0,1,application_received,3,leader_to_rsu,40.000000,8,1
