timestamp,area_id,source_id,target_id,upload_type,bytes,original_bytes,byte_source,raw_point_count,slice_point_count,slice_ratio,sc_start,sc_num,schedule_status,schedule_reason
000078,11_5,9,10,member_to_leader,3056,10000,raw_lidar_slice,5099,191,0.037458,6,1,scheduled,single_slot_capacity
000078,11_4,10,RSU,leader_to_rsu,2000,2000,fixed_original,,,,7,1,scheduled,single_slot_capacity
000078,11_5,10,RSU,leader_to_rsu,2000,2000,fixed_original,,,,8,1,scheduled,single_slot_capacity
000078,11_6,9,RSU,leader_to_rsu,2000,2000,fixed_original,,,,9,1,scheduled,single_slot_capacity
000080,12_9,20,5,member_to_leader,13248,10000,raw_lidar_slice,5181,828,0.159815,0,1,scheduled,single_slot_capacity
000080,16_7,12,4,member_to_leader,12576,10000,raw_lidar_slice,5236,786,0.150115,1,1,scheduled,single_slot_capacity
000080,11_6,10,9,member_to_leader,9760,10000,raw_lidar_slice,5105,610,0.119491,2,1,scheduled,single_slot_capacity
000080,11_8,9,19,member_to_leader,6320,10000,raw_lidar_slice,5100,395,0.077451,3,1,scheduled,single_slot_capacity
000080,14_0,1,2,member_to_leader,3968,10000,raw_lidar_slice,5122,248,0.048419,4,1,scheduled,single_slot_capacity
000080,11_7,10,9,member_to_leader,3712,10000,raw_lidar_slice,5105,232,0.045446,5,1,scheduled,single_slot_capacity
000080,13_2,2,11,member_to_leader,3152,10000,raw_lidar_slice,5068,197,0.038871,6,1,scheduled,single_slot_capacity
000080,11_4,10,RSU,leader_to_rsu,2000,2000,fixed_original,,,,7,1,scheduled,single_slot_capacity
000080,11_5,10,RSU,leader_to_rsu,2000,2000,fixed_original,,,,8,1,scheduled,single_slot_capacity
000080,11_6,9,RSU,leader_to_rsu,2000,2000,fixed_original,,,,9,1,scheduled,single_slot_capacity
