scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000074,17,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,3;17;18,17;18,18,"{""18"": 54}","{""17"": 4954, ""18"": 4962}",79392,4.415572858731925,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,18,0,10,
2026_07_15_01_26_56,000074,20,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,5;9;16;20,20;7,7,"{""7"": 39}","{""7"": 4625, ""20"": 4907}",74000,4.115684093437153,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,7,16,26,
2026_07_15_01_26_56,000076,1,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,1;2;8;11,1;8,8,"{""8"": 39}","{""1"": 4934, ""8"": 4384}",70144,3.9012235817575083,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,8,10,32,
2026_07_15_01_26_56,000076,4,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,4;9;12,4;12,12,"{""12"": 52}","{""4"": 4853, ""12"": 2642}",42272,2.3510567296996663,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,12,8,33,
2026_07_15_01_26_56,000076,13,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,10;13;14;19,13;5,5,"{""5"": 39}","{""5"": 4844, ""13"": 4773}",77504,4.310567296996663,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,5,2,21,
2026_07_15_01_26_56,000076,15,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,6;15,15;6,6,"{""6"": 56}","{""6"": 4513, ""15"": 4754}",72208,4.016017797552837,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,6,11,18,
2026_07_15_01_26_56,000076,16,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,5;7;16;20,16;9,9,"{""9"": 39}","{""9"": 4814, ""16"": 4885}",77024,4.283870967741936,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,9,8,27,
2026_07_15_01_26_56,000076,17,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,3;17;18,17;18,18,"{""18"": 55}","{""17"": 5003, ""18"": 4970}",79520,4.422691879866519,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,18,1,11,
2026_07_15_01_26_56,000078,1,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,1;2;8;11,1;8,8,"{""8"": 39}","{""1"": 4934, ""8"": 4385}",70160,3.9021134593993323,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,8,11,32,
2026_07_15_01_26_56,000078,4,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,4;9;12,4;12,12,"{""12"": 52}","{""4"": 4858, ""12"": 2720}",43520,2.4204671857619577,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,12,8,35,
