timestamp,area_id,area_center_x,area_center_y,priority,group_members,group_size,leader_id,group_confidence,member_uploads,leader_uploads
000074,15_6,15.000,-1.000,2.100000,4,1,4,0.913557,0,1
000074,12_5,-15.000,-7.000,2.100000,10,1,10,0.897513,0,1
000074,11_5,-25.000,-7.000,2.100000,10;9,2,10,0.979061,1,1
000074,13_9,-5.000,17.000,2.100000,20;7,2,20,0.966302,1,1
000074,15_9,15.000,17.000,2.100000,7,1,7,0.852228,0,1
000074,17_7,35.000,5.000,2.100000,12,1,12,0.848723,0,1
000074,15_2,15.000,-25.000,2.100000,1;8,2,1,0.970775,1,1
000076,12_9,-15.000,17.000,4.300000,5;20,2,5,0.993680,1,1
000076,13_2,-5.000,-25.000,4.300000,11;2,2,11,0.984951,1,1
000076,14_1,5.000,-31.000,3.200000,1,1,1,0.937491,0,1
000076,11_7,-25.000,5.000,3.200000,9;10,2,9,0.984973,1,1
000076,14_10,5.000,23.000,3.200000,7,1,7,0.904093,0,1
000076,13_3,-5.000,-19.000,3.200000,11,1,11,0.854979,0,1
000076,13_0,-5.000,-37.000,3.100000,2,1,2,0.961918,0,1
000076,12_4,-15.000,-13.000,3.100000,10,1,10,0.818910,0,1
000076,14_3,5.000,-19.000,3.100000,1;8,2,8,0.943908,1,1
000076,17_5,35.000,-7.000,3.100000,12;4,2,12,0.850178,1,1
000076,15_4,15.000,-13.000,3.000000,8,1,8,0.924505,0,1
000076,15_3,15.000,-19.000,3.000000,8;1,2,1,0.962842,1,1
000076,16_7,25.000,5.000,2.100000,12,1,12,0.949175,0,1
000076,14_9,5.000,17.000,2.100000,7,1,7,0.943466,0,1
000076,12_11,-15.000,29.000,2.100000,16;20,2,16,0.986202,1,1
000076,15_6,15.000,-1.000,2.100000,4,1,4,0.914263,0,1
000076,11_5,-25.000,-7.000,2.100000,10;9,2,10,0.978897,1,1
000076,16_8,25.000,11.000,2.100000,12;4,2,4,0.968714,1,1
000076,15_9,15.000,17.000,2.100000,7,1,7,0.856817,0,1
000076,17_7,35.000,5.000,2.100000,12,1,12,0.855664,0,1
000076,15_2,15.000,-25.000,2.100000,1;8,2,1,0.970775,1,1
000076,11_8,-25.000,11.000,2.100000,9;19,2,19,0.956906,1,1
000076,12_3,-15.000,-19.000,2.100000,11,1,11,0.829625,0,1
000078,13_2,-5.000,-25.000,4.300000,11;2,2,11,0.985247,1,1
000078,12_9,-15.000,17.000,4.200000,5;20,2,5,0.993938,1,1
000078,11_7,-25.000,5.000,3.200000,9;10,2,9,0.985272,1,1
000078,14_10,5.000,23.000,3.200000,7,1,7,0.900155,0,1
000078,13_3,-5.000,-19.000,3.200000,11,1,11,0.854979,0,1
000078,12_4,-15.000,-13.000,3.200000,10,1,10,0.815083,0,1
000078,13_0,-5.000,-37.000,3.100000,2,1,2,0.959509,0,1
000078,15_4,15.000,-13.000,3.100000,8,1,8,0.924505,0,1
000078,14_3,5.000,-19.000,3.100000,1;8,2,1,0.943908,1,1
000078,17_5,35.000,-7.000,3.100000,12;4,2,12,0.851920,1,1
000078,15_3,15.000,-19.000,3.000000,8;1,2,8,0.962842,1,1
000078,11_5,-25.000,-7.000,2.200000,10;9,2,10,0.978693,1,1
000078,16_7,25.000,5.000,2.100000,12;4,2,4,0.991533,1,1
000078,14_9,5.000,17.000,2.100000,7,1,7,0.940632,0,1
000078,14_1,5.000,-31.000,2.100000,1,1,1,0.937491,0,1
000078,12_11,-15.000,29.000,2.100000,16;20,2,16,0.985991,1,1
000078,15_6,15.000,-1.000,2.100000,4,1,4,0.914653,0,1
000078,11_6,-25.000,-1.000,2.100000,9;10,2,9,0.988538,1,1
000078,13_9,-5.000,17.000,2.100000,20;7,2,20,0.954287,1,1
000078,17_7,35.000,5.000,2.100000,12,1,12,0.863079,0,1
000078,15_9,15.000,17.000,2.100000,7,1,7,0.861291,0,1
000078,16_8,25.000,11.000,2.100000,12;4,2,12,0.967688,1,1
000078,14_0,5.000,-37.000,2.100000,1;2,2,2,0.959067,1,1
000080,13_2,-5.000,-25.000,4.300000,11;2,2,11,0.985538,1,1
000080,12_9,-15.000,17.000,4.200000,5;20,2,5,0.994239,1,1
000080,11_7,-25.000,5.000,3.200000,9;10,2,9,0.985547,1,1
000080,14_10,5.000,23.000,3.200000,7,1,7,0.896279,0,1
000080,13_3,-5.000,-19.000,3.200000,11,1,11,0.854979,0,1
000080,12_4,-15.000,-13.000,3.200000,10,1,10,0.811568,0,1
000080,14_3,5.000,-19.000,3.200000,1;8,2,1,0.943908,1,1
000080,13_0,-5.000,-37.000,3.100000,2,1,2,0.956709,0,1
000080,17_5,35.000,-7.000,3.100000,12;4,2,12,0.858988,1,1
000080,15_4,15.000,-13.000,3.000000,8,1,8,0.924505,0,1
000080,15_3,15.000,-19.000,3.000000,8;1,2,8,0.962842,1,1
000080,11_5,-25.000,-7.000,2.200000,10;9,2,10,0.978466,1,1
000080,14_9,5.000,17.000,2.100000,7,1,7,0.937673,0,1
000080,14_1,5.000,-31.000,2.100000,1,1,1,0.937491,0,1
000080,16_7,25.000,5.000,2.100000,12;4,2,4,0.990285,1,1
000080,12_11,-15.000,29.000,2.100000,16;20,2,16,0.985529,1,1
000080,15_6,15.000,-1.000,2.100000,4,1,4,0.914748,0,1
000080,11_6,-25.000,-1.000,2.100000,9;10,2,9,0.988823,1,1
000080,17_7,35.000,5.000,2.100000,12,1,12,0.870913,0,1
000080,15_9,15.000,17.000,2.100000,7,1,7,0.865607,0,1
000080,14_0,5.000,-37.000,2.100000,1;2,2,2,0.955186,1,1
000080,16_8,25.000,11.000,2.100000,12;4,2,12,0.966740,1,1
000080,15_2,15.000,-25.000,2.100000,1;8,2,1,0.970775,1,1
