timestamp,area_id,source_id,target_id,upload_type,bytes,original_bytes,byte_source,raw_point_count,slice_point_count,slice_ratio
000064,15_2,8,1,member_to_leader,2992,10000,raw_lidar_slice,5125,187,0.036488
000064,15_2,1,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000064,11_8,9,19,member_to_leader,6320,10000,raw_lidar_slice,5099,395,0.077466
000064,11_8,19,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000064,15_9,7,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000064,11_4,10,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000064,12_3,11,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000064,17_7,12,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000064,16_5,12,4,member_to_leader,2768,10000,raw_lidar_slice,5223,173,0.033123
000064,16_5,4,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000064,15_8,7,4,member_to_leader,2192,10000,raw_lidar_slice,5176,137,0.026468
000064,15_8,4,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000064,12_7,10,20,member_to_leader,1808,10000,raw_lidar_slice,5104,113,0.022139
000064,12_7,20,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000066,12_9,20,5,member_to_leader,13184,10000,raw_lidar_slice,5179,824,0.159104
000066,12_9,5,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000066,13_2,2,11,member_to_leader,2240,10000,raw_lidar_slice,5074,140,0.027592
000066,13_2,11,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000066,13_0,2,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000066,14_1,1,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000066,15_4,8,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000066,11_7,10,9,member_to_leader,2480,10000,raw_lidar_slice,5121,155,0.030268
000066,11_7,9,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000066,13_3,11,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000066,12_4,10,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000066,14_11,16,7,member_to_leader,768,10000,raw_lidar_slice,5233,48,0.009173
000066,14_11,7,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000066,14_3,8,1,member_to_leader,1616,10000,raw_lidar_slice,5125,101,0.019707
000066,14_3,1,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000066,17_5,4,12,member_to_leader,944,10000,raw_lidar_slice,5165,59,0.011423
000066,17_5,12,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000066,18_7,12,4,member_to_leader,544,10000,raw_lidar_slice,5225,34,0.006507
000066,18_7,4,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000066,15_3,1,8,member_to_leader,1520,10000,raw_lidar_slice,5118,95,0.018562
000066,15_3,8,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000066,16_7,12,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000066,14_9,7,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000066,14_10,7,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000066,12_11,16,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000066,12_5,10,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000066,15_6,4,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000066,11_5,9,10,member_to_leader,3040,10000,raw_lidar_slice,5100,190,0.037255
000066,11_5,10,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000066,13_9,7,20,member_to_leader,2048,10000,raw_lidar_slice,5180,128,0.024710
000066,13_9,20,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000066,16_8,4,12,member_to_leader,2816,10000,raw_lidar_slice,5165,176,0.034076
000066,16_8,12,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000066,15_2,8,1,member_to_leader,2992,10000,raw_lidar_slice,5125,187,0.036488
000066,15_2,1,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000066,11_8,9,19,member_to_leader,6320,10000,raw_lidar_slice,5100,395,0.077451
000066,11_8,19,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000066,15_9,7,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000066,11_4,10,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000066,12_3,11,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000066,17_7,12,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000066,16_5,12,4,member_to_leader,2736,10000,raw_lidar_slice,5225,171,0.032727
000066,16_5,4,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000066,15_8,7,4,member_to_leader,2320,10000,raw_lidar_slice,5180,145,0.027992
000066,15_8,4,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000068,12_9,20,5,member_to_leader,13184,10000,raw_lidar_slice,5179,824,0.159104
000068,12_9,5,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000068,13_2,2,11,member_to_leader,2320,10000,raw_lidar_slice,5072,145,0.028588
000068,13_2,11,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000068,13_0,2,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000068,14_1,1,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000068,11_7,10,9,member_to_leader,2608,10000,raw_lidar_slice,5092,163,0.032011
000068,11_7,9,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000068,13_3,11,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000068,14_11,16,7,member_to_leader,816,10000,raw_lidar_slice,5257,51,0.009701
000068,14_11,7,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000068,18_7,4,12,member_to_leader,224,10000,raw_lidar_slice,5138,14,0.002725
000068,18_7,12,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000068,15_4,8,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000068,12_4,10,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000068,14_3,8,1,member_to_leader,1616,10000,raw_lidar_slice,5126,101,0.019703
000068,14_3,1,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000068,17_5,12,4,member_to_leader,1792,10000,raw_lidar_slice,5230,112,0.021415
000068,17_5,4,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000068,15_3,1,8,member_to_leader,1520,10000,raw_lidar_slice,5119,95,0.018558
000068,15_3,8,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000068,16_7,12,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000068,14_9,7,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000068,12_11,16,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000068,14_10,7,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000068,15_6,4,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000068,12_5,10,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000068,11_5,9,10,member_to_leader,3040,10000,raw_lidar_slice,5101,190,0.037248
000068,11_5,10,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000068,13_9,7,20,member_to_leader,2000,10000,raw_lidar_slice,5175,125,0.024155
000068,13_9,20,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000068,16_8,4,12,member_to_leader,2704,10000,raw_lidar_slice,5138,169,0.032892
000068,16_8,12,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000068,15_2,8,1,member_to_leader,2992,10000,raw_lidar_slice,5126,187,0.036481
000068,15_2,1,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000068,11_8,9,19,member_to_leader,6320,10000,raw_lidar_slice,5101,395,0.077436
000068,11_8,19,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000068,15_9,7,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000068,17_7,12,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000068,12_3,11,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000068,12_7,10,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000068,15_8,7,4,member_to_leader,2432,10000,raw_lidar_slice,5175,152,0.029372
000068,15_8,4,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000068,16_4,12,4,member_to_leader,1968,10000,raw_lidar_slice,5230,123,0.023518
000068,16_4,4,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000070,12_9,20,5,member_to_leader,13184,10000,raw_lidar_slice,5179,824,0.159104
000070,12_9,5,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000070,13_2,2,11,member_to_leader,2304,10000,raw_lidar_slice,5082,144,0.028335
000070,13_2,11,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000070,13_0,2,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000070,11_7,10,9,member_to_leader,2784,10000,raw_lidar_slice,5104,174,0.034091
000070,11_7,9,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000070,13_3,11,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000070,18_7,4,12,member_to_leader,256,10000,raw_lidar_slice,5145,16,0.003110
000070,18_7,12,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000070,14_1,1,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000070,15_4,8,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000070,14_10,7,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000070,12_4,10,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000070,14_3,8,1,member_to_leader,1616,10000,raw_lidar_slice,5127,101,0.019700
000070,14_3,1,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000070,17_5,12,4,member_to_leader,1872,10000,raw_lidar_slice,5213,117,0.022444
000070,17_5,4,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000070,15_3,1,8,member_to_leader,1520,10000,raw_lidar_slice,5121,95,0.018551
