scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000130,3,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,3;18;19,3;19;18,19;18,"{""18"": 41, ""19"": 62}","{""3"": 4993, ""18"": 1276, ""19"": 4828}",97664,59.995550611790875,10,40.0,ns3,899,0.5,10,12,28,6,2,"[43.95995550611791, 16.03559510567297]","[740896, 95840]",18>3:0;19>3:8,,15,23,
2026_07_15_01_26_56,000130,4,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,4;14,4,,{},"{""4"": 4849}",0,59.995550611790875,10,40.0,ns3,899,0.5,10,12,28,6,2,"[43.95995550611791, 16.03559510567297]","[740896, 95840]",,,11,25,
2026_07_15_01_26_56,000130,5,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,2;5;16,5,,{},"{""5"": 4841}",0,59.995550611790875,10,40.0,ns3,899,0.5,10,12,28,6,2,"[43.95995550611791, 16.03559510567297]","[740896, 95840]",,,19,13,
2026_07_15_01_26_56,000130,6,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,6;9,6,,{},"{""6"": 4745}",0,59.995550611790875,10,40.0,ns3,899,0.5,10,12,28,6,2,"[43.95995550611791, 16.03559510567297]","[740896, 95840]",,,10,16,
2026_07_15_01_26_56,000130,7,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,7;18;19,7,,{},"{""7"": 4910}",0,59.995550611790875,10,40.0,ns3,899,0.5,10,12,28,6,2,"[43.95995550611791, 16.03559510567297]","[740896, 95840]",,,13,12,
2026_07_15_01_26_56,000130,8,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,8;15,8,,{},"{""8"": 4840}",0,59.995550611790875,10,40.0,ns3,899,0.5,10,12,28,6,2,"[43.95995550611791, 16.03559510567297]","[740896, 95840]",,,12,20,
2026_07_15_01_26_56,000130,9,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,6;9,9;6,6,"{""6"": 37}","{""6"": 4421, ""9"": 4854}",70736,59.995550611790875,10,40.0,ns3,899,0.5,10,12,28,6,2,"[43.95995550611791, 16.03559510567297]","[740896, 95840]",6>9:1,,13,17,
2026_07_15_01_26_56,000130,10,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,10;20,10,,{},"{""10"": 4923}",0,59.995550611790875,10,40.0,ns3,899,0.5,10,12,28,6,2,"[43.95995550611791, 16.03559510567297]","[740896, 95840]",,,20,25,
2026_07_15_01_26_56,000130,11,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,11;12;15,11;12,12,"{""12"": 46}","{""11"": 4912, ""12"": 4894}",78304,59.995550611790875,10,40.0,ns3,899,0.5,10,12,28,6,2,"[43.95995550611791, 16.03559510567297]","[740896, 95840]",12>11:9,,17,25,
2026_07_15_01_26_56,000130,12,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,11;12;13,12,,{},"{""12"": 4999}",0,59.995550611790875,10,40.0,ns3,899,0.5,10,12,28,6,2,"[43.95995550611791, 16.03559510567297]","[740896, 95840]",,,9,11,
2026_07_15_01_26_56,000130,13,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,12;13;16,13;12,12,"{""12"": 3}","{""12"": 1802, ""13"": 4679}",28832,59.995550611790875,10,40.0,ns3,899,0.5,10,12,28,6,2,"[43.95995550611791, 16.03559510567297]","[740896, 95840]",12>13:2,,7,20,
2026_07_15_01_26_56,000130,14,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,4;14,14;4,4,"{""4"": 50}","{""4"": 4822, ""14"": 4881}",77152,59.995550611790875,10,40.0,ns3,899,0.5,10,12,28,6,2,"[43.95995550611791, 16.03559510567297]","[740896, 95840]",4>14:5,,4,1,
2026_07_15_01_26_56,000130,15,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,8;11;15,15;8;11,8;11,"{""8"": 42, ""11"": 8}","{""8"": 4647, ""11"": 1095, ""15"": 4809}",91872,59.995550611790875,10,40.0,ns3,899,0.5,10,12,28,6,2,"[43.95995550611791, 16.03559510567297]","[740896, 95840]",8>15:2;11>15:0,,25,36,
2026_07_15_01_26_56,000130,16,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,5;13;16,16;13;5,13;5,"{""5"": 1, ""13"": 54}","{""5"": 15, ""13"": 4640, ""16"": 5017}",74480,59.995550611790875,10,40.0,ns3,899,0.5,10,12,28,6,2,"[43.95995550611791, 16.03559510567297]","[740896, 95840]",5>16:3;13>16:4,,14,36,
2026_07_15_01_26_56,000130,17,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,1;17,17,,{},"{""17"": 5023}",0,59.995550611790875,10,40.0,ns3,899,0.5,10,12,28,6,2,"[43.95995550611791, 16.03559510567297]","[740896, 95840]",,,16,13,
2026_07_15_01_26_56,000130,18,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,3;7;18,18;7,7,"{""7"": 59}","{""7"": 4910, ""18"": 4877}",78560,59.995550611790875,10,40.0,ns3,899,0.5,10,12,28,6,2,"[43.95995550611791, 16.03559510567297]","[740896, 95840]",7>18:6,,15,18,
2026_07_15_01_26_56,000130,19,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,3;7;19,19;7,7,"{""7"": 7}","{""7"": 1802, ""19"": 4829}",28832,59.995550611790875,10,40.0,ns3,899,0.5,10,12,28,6,2,"[43.95995550611791, 16.03559510567297]","[740896, 95840]",7>19:1,,15,21,
2026_07_15_01_26_56,000130,20,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,10;20,20;10,10,"{""10"": 30}","{""10"": 4069, ""20"": 4900}",65104,59.995550611790875,10,40.0,ns3,899,0.5,10,12,28,6,2,"[43.95995550611791, 16.03559510567297]","[740896, 95840]",10>20:0,,21,32,
