line_no,frame_index,event,rnti,lcid,source_node,target_node,request_id,sn,fi,size,harq_id,bwp_id,layer,vr_ur,vr_uh,timestamp,area_id,upload_type,plan_index,pkt_id,matched
2784,0,RX,17,5,14,17,1,9,3,400,,,,,,000060,12_9,member_to_leader,1,1,1
2798,0,TX,3,5,3,1,24,17,3,400,7,0,0,,,000060,12_5,leader_to_rsu,24,24,1
2802,0,TX,5,5,5,16,3,22,3,400,6,0,0,,,000060,16_8,member_to_leader,3,3,1
2806,0,TX,14,5,14,17,1,11,3,400,7,0,0,,,000060,12_9,member_to_leader,1,1,1
2810,0,TX,21,5,21,12,4,9,3,400,7,0,0,,,000060,11_8,member_to_leader,4,4,1
2814,0,TX,20,5,20,1,36,1,3,400,9,0,0,,,000060,15_3,leader_to_rsu,36,36,1
2818,0,TX,19,5,19,1,31,1,3,400,8,0,0,,,000060,14_10,leader_to_rsu,31,31,1
2822,0,TX,4,5,4,1,27,7,3,400,7,0,0,,,000060,13_2,leader_to_rsu,27,27,1
2826,0,TX,2,5,2,1,30,1,3,400,1,0,0,,,000060,14_1,leader_to_rsu,30,30,1
2931,0,RX,1,5,3,1,23,14,3,400,,,,,,000060,12_4,leader_to_rsu,23,23,1
2932,0,RX,9,5,14,9,2,10,3,400,,,,,,000060,12_10,member_to_leader,2,2,1
2933,0,RX,12,5,21,12,4,7,3,400,,,,,,000060,11_8,member_to_leader,4,4,1
2934,0,RX,16,5,5,16,3,20,3,400,,,,,,000060,16_8,member_to_leader,3,3,1
2950,0,TX,3,5,3,1,24,18,3,400,8,0,0,,,000060,12_5,leader_to_rsu,24,24,1
2954,0,TX,5,5,5,16,3,23,3,400,7,0,0,,,000060,16_8,member_to_leader,3,3,1
2958,0,TX,14,5,14,1,29,0,1,400,8,0,0,,,000060,13_9,leader_to_rsu,29,29,1
2962,0,TX,21,5,21,12,4,10,3,400,8,0,0,,,000060,11_8,member_to_leader,4,4,1
2966,0,TX,20,5,20,1,36,2,3,400,10,0,0,,,000060,15_3,leader_to_rsu,36,36,1
2970,0,TX,19,5,19,1,31,2,3,400,9,0,0,,,000060,14_10,leader_to_rsu,31,31,1
2974,0,TX,4,5,4,1,27,8,3,400,8,0,0,,,000060,13_2,leader_to_rsu,27,27,1
2978,0,TX,2,5,2,1,30,2,3,400,2,0,0,,,000060,14_1,leader_to_rsu,30,30,1
3083,0,RX,1,5,2,1,30,0,1,400,,,,,,000060,14_1,leader_to_rsu,30,30,1
3084,0,RX,1,5,4,1,22,6,3,400,,,,,,000060,12_3,leader_to_rsu,22,22,1
3085,0,RX,1,5,20,1,36,0,1,400,,,,,,000060,15_3,leader_to_rsu,36,36,1
3086,0,RX,1,5,3,1,23,15,3,400,,,,,,000060,12_4,leader_to_rsu,23,23,1
3091,0,RX,16,5,5,16,3,21,3,400,,,,,,000060,16_8,member_to_leader,3,3,1
3092,0,RX,17,5,14,17,1,10,3,400,,,,,,000060,12_9,member_to_leader,1,1,1
3111,0,TX,3,5,3,1,24,19,3,400,9,0,0,,,000060,12_5,leader_to_rsu,24,24,1
3115,0,TX,5,5,5,16,3,24,3,400,8,0,0,,,000060,16_8,member_to_leader,3,3,1
3119,0,TX,14,5,14,9,2,12,3,400,9,0,0,,,000060,12_10,member_to_leader,2,2,1
3123,0,TX,21,5,21,12,4,11,3,400,9,0,0,,,000060,11_8,member_to_leader,4,4,1
3127,0,TX,20,5,20,1,36,3,3,400,11,0,0,,,000060,15_3,leader_to_rsu,36,36,1
3131,0,TX,19,5,19,1,31,3,3,400,10,0,0,,,000060,14_10,leader_to_rsu,31,31,1
3135,0,TX,4,5,4,1,27,9,3,400,9,0,0,,,000060,13_2,leader_to_rsu,27,27,1
3139,0,TX,2,5,2,1,30,3,3,400,3,0,0,,,000060,14_1,leader_to_rsu,30,30,1
3244,0,RX,1,5,4,1,27,7,3,400,,,,,,000060,13_2,leader_to_rsu,27,27,1
3245,0,RX,1,5,19,1,31,1,3,400,,,,,,000060,14_10,leader_to_rsu,31,31,1
3246,0,RX,1,5,20,1,36,1,3,400,,,,,,000060,15_3,leader_to_rsu,36,36,1
3247,0,RX,1,5,3,1,24,16,3,400,,,,,,000060,12_5,leader_to_rsu,24,24,1
3248,0,RX,9,5,14,9,2,11,3,400,,,,,,000060,12_10,member_to_leader,2,2,1
3249,0,RX,12,5,21,12,4,8,3,400,,,,,,000060,11_8,member_to_leader,4,4,1
3250,0,RX,16,5,5,16,3,22,3,400,,,,,,000060,16_8,member_to_leader,3,3,1
3266,0,TX,3,5,3,1,24,20,3,332,10,0,0,,,000060,12_5,leader_to_rsu,24,24,1
3272,0,TX,5,5,5,16,3,25,3,400,9,0,0,,,000060,16_8,member_to_leader,3,3,1
3276,0,TX,14,5,14,17,1,12,3,400,10,0,0,,,000060,12_9,member_to_leader,1,1,1
3280,0,TX,21,5,21,12,4,12,3,400,10,0,0,,,000060,11_8,member_to_leader,4,4,1
3284,0,TX,20,5,20,1,36,4,3,400,12,0,0,,,000060,15_3,leader_to_rsu,36,36,1
3288,0,TX,19,5,19,1,31,4,3,400,11,0,0,,,000060,14_10,leader_to_rsu,31,31,1
3292,0,TX,4,5,4,1,27,10,3,400,10,0,0,,,000060,13_2,leader_to_rsu,27,27,1
3296,0,TX,2,5,2,1,30,4,3,400,4,0,0,,,000060,14_1,leader_to_rsu,30,30,1
3300,0,TX,16,5,16,5,9,6,2,12,6,0,0,,,000060,16_4,member_to_leader,9,9,1
3405,0,RX,1,5,19,1,31,2,3,400,,,,,,000060,14_10,leader_to_rsu,31,31,1
3406,0,RX,1,5,20,1,36,2,3,400,,,,,,000060,15_3,leader_to_rsu,36,36,1
3407,0,RX,1,5,3,1,24,17,3,400,,,,,,000060,12_5,leader_to_rsu,24,24,1
3408,0,RX,12,5,21,12,4,9,3,400,,,,,,000060,11_8,member_to_leader,4,4,1
3409,0,RX,16,5,5,16,3,23,3,400,,,,,,000060,16_8,member_to_leader,3,3,1
3410,0,RX,17,5,14,17,1,11,3,400,,,,,,000060,12_9,member_to_leader,1,1,1
