scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,max_senders_per_receiver,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000074,17,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,3;17;18,17;3;18,3;18,"{""3"": 58, ""18"": 54}","{""3"": 3687, ""17"": 4954, ""18"": 4962}",138384,44.155728587319246,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],3>17:6;18>17:7,,8,16,
2026_07_15_01_26_56,000074,20,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,5;9;16;20,20;9;16,9;16,"{""9"": 49, ""16"": 50}","{""9"": 4805, ""16"": 2687, ""20"": 4907}",119872,42.75862068965517,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],9>20:4;16>20:5,,23,32,
2026_07_15_01_26_56,000076,1,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,1;2;8;11,1;2;11,2;11,"{""2"": 50, ""11"": 53}","{""1"": 4934, ""2"": 4372, ""11"": 4595}",143472,40.88987764182425,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],2>1:0;11>1:1,,24,41,
2026_07_15_01_26_56,000076,4,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,4;9;12,4;9;12,9;12,"{""9"": 52, ""12"": 52}","{""4"": 4853, ""9"": 4858, ""12"": 2642}",120000,43.23025583982203,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],9>4:8;12>4:9,,19,42,
2026_07_15_01_26_56,000076,13,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,10;13;14;19,13;14;10,14;10,"{""10"": 55, ""14"": 60}","{""10"": 4856, ""13"": 4773, ""14"": 5021}",158032,44.68075639599555,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],10>13:3;14>13:2,,11,29,
2026_07_15_01_26_56,000076,15,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,6;15,15,,{},"{""15"": 4754}",0,0.0,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],,,14,9,
2026_07_15_01_26_56,000076,16,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,5;7;16;20,16;7;20,7;20,"{""7"": 55, ""20"": 46}","{""7"": 4701, ""16"": 4885, ""20"": 3151}",125632,41.83314794215795,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],7>16:4;20>16:5,,19,28,
2026_07_15_01_26_56,000076,17,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,3;17;18,17;3;18,3;18,"{""3"": 62, ""18"": 55}","{""3"": 3786, ""17"": 5003, ""18"": 4970}",140096,44.22691879866519,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],3>17:6;18>17:7,,11,17,
2026_07_15_01_26_56,000078,1,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,1;2;8;11,1;2;11,2;11,"{""2"": 49, ""11"": 53}","{""1"": 4934, ""2"": 4362, ""11"": 4594}",143296,40.88097886540601,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],2>1:0;11>1:1,,28,40,
2026_07_15_01_26_56,000078,4,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,4;9;12,4;9;12,9;12,"{""9"": 52, ""12"": 52}","{""4"": 4858, ""9"": 4856, ""12"": 2720}",121216,43.212458286985544,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],9>4:8;12>4:9,,18,44,
2026_07_15_01_26_56,000078,13,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,10;13;14;19,13;14;10,14;10,"{""10"": 51, ""14"": 63}","{""10"": 4836, ""13"": 4778, ""14"": 5015}",157616,44.6273637374861,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],10>13:3;14>13:2,,13,30,
2026_07_15_01_26_56,000078,15,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,6;15,15,,{},"{""15"": 4753}",0,0.0,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],,,13,9,
2026_07_15_01_26_56,000078,16,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,5;7;16;20,16;7;20,7;20,"{""7"": 56, ""20"": 46}","{""7"": 4725, ""16"": 4880, ""20"": 3154}",126064,42.04671857619577,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],7>16:4;20>16:5,,19,27,
2026_07_15_01_26_56,000078,17,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,3;17;18,17;3;18,3;18,"{""3"": 61, ""18"": 55}","{""3"": 3830, ""17"": 4995, ""18"": 4993}",141168,44.43159065628476,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],3>17:6;18>17:7,,7,17,
2026_07_15_01_26_56,000080,1,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,1;2;8;11,1;2;11,2;11,"{""2"": 49, ""11"": 53}","{""1"": 4933, ""2"": 4344, ""11"": 4592}",142976,40.86318131256952,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],2>1:0;11>1:1,,25,42,
2026_07_15_01_26_56,000080,4,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,4;9;12,4;9;12,9;12,"{""9"": 52, ""12"": 55}","{""4"": 4847, ""9"": 4857, ""12"": 2836}",123088,43.22135706340379,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],9>4:8;12>4:9,,19,46,
2026_07_15_01_26_56,000080,13,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,10;13;14;19,13;14;10,14;10,"{""10"": 54, ""14"": 63}","{""10"": 4833, ""13"": 4772, ""14"": 5030}",157808,44.76084538375973,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],10>13:3;14>13:2,,11,31,
2026_07_15_01_26_56,000080,15,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,6;15,15,,{},"{""15"": 4751}",0,0.0,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],,,12,8,
2026_07_15_01_26_56,000080,16,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,5;7;16;20,16;7;20,7;20,"{""7"": 57, ""20"": 46}","{""7"": 4725, ""16"": 4897, ""20"": 3151}",126016,42.04671857619577,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],7>16:4;20>16:5,,21,28,
2026_07_15_01_26_56,000080,17,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,3;17;18,17;3;18,3;18,"{""3"": 62, ""18"": 55}","{""3"": 3909, ""17"": 4990, ""18"": 4961}",141920,44.146829810901,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],3>17:6;18>17:7,,7,18,
2026_07_15_01_26_56,000082,1,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,1;2;8;11,1;2;11,2;11,"{""2"": 51, ""11"": 53}","{""1"": 4932, ""2"": 4388, ""11"": 4590}",143648,40.84538375973304,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],2>1:0;11>1:1,,26,41,
