scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000074,20,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,5;9;16;20,20;5;9;16,5;9;16,"{""5"": 39, ""9"": 39, ""16"": 39}","{""5"": 1296, ""9"": 2759, ""16"": 2490, ""20"": 4907}",104720,,5;9;16,18,34,
2026_07_15_01_26_56,000076,1,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,1;2;8;11,1;2;11;8,2;11;8,"{""2"": 39, ""8"": 39, ""11"": 39}","{""1"": 4934, ""2"": 2093, ""8"": 778, ""11"": 2052}",78768,,2;11;8,30,46,
2026_07_15_01_26_56,000076,4,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,4;9;12,4;9;12,9;12,"{""9"": 52, ""12"": 52}","{""4"": 4853, ""9"": 4858, ""12"": 2642}",120000,,9;12,19,42,
2026_07_15_01_26_56,000076,13,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,10;13;14;19,13;14;19;10,14;19;10,"{""10"": 39, ""14"": 39, ""19"": 39}","{""10"": 1041, ""13"": 4773, ""14"": 3677, ""19"": 1061}",92464,,14;19;10,4,31,
2026_07_15_01_26_56,000076,15,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,6;15,15;6,6,"{""6"": 56}","{""6"": 4513, ""15"": 4754}",72208,,6,16,18,
2026_07_15_01_26_56,000076,16,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,5;7;16;20,16;5;20;7,5;20;7,"{""5"": 39, ""7"": 39, ""20"": 39}","{""5"": 4375, ""7"": 4237, ""16"": 4885, ""20"": 2906}",184288,,5;20;7,21,30,
2026_07_15_01_26_56,000076,17,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,3;17;18,17;18;3,18;3,"{""3"": 59, ""18"": 55}","{""3"": 3566, ""17"": 5003, ""18"": 4970}",136576,,18;3,11,17,
2026_07_15_01_26_56,000078,1,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,1;2;8;11,1;2;8;11,2;8;11,"{""2"": 39, ""8"": 39, ""11"": 39}","{""1"": 4934, ""2"": 4038, ""8"": 4123, ""11"": 4296}",199312,,2;8;11,31,45,
2026_07_15_01_26_56,000078,4,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,4;9;12,4;9;12,9;12,"{""9"": 52, ""12"": 52}","{""4"": 4858, ""9"": 4856, ""12"": 2720}",121216,,9;12,18,44,
2026_07_15_01_26_56,000078,13,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,10;13;14;19,13;19;10;14,19;10;14,"{""10"": 39, ""14"": 39, ""19"": 39}","{""10"": 2253, ""13"": 4778, ""14"": 4098, ""19"": 1214}",121040,,19;10;14,12,31,
