frame_index,timestamp,request_id,source_node,target_node,area_id,upload_type,planned_bytes,rlc_tx_count,rlc_rx_count,rlc_drop_count,phy_schedule_count,pscch_ok_count,pscch_fail_count,pssch_ok_count,pssch_fail_count,harq_ack_count,harq_nack_count,harq_timeout_count,cam_received,terminal_state
2,000064,122,4,12,,member_to_leader,2928,0,0,0,0,0,0,0,0,0,0,0,0,planned_only
2,000064,123,12,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,1,0,0,0,0,pssch_fail
2,000064,124,8,1,,member_to_leader,2992,2,1,0,0,0,0,1,1,0,0,0,0,rlc_rx_only
2,000064,125,1,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,1,0,0,0,0,pssch_fail
2,000064,126,9,19,,member_to_leader,6320,3,1,0,0,0,0,1,2,0,0,0,0,rlc_rx_only
2,000064,127,19,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,1,0,0,0,0,pssch_fail
2,000064,128,7,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,1,0,0,0,0,pssch_fail
2,000064,129,10,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,1,0,0,0,0,pssch_fail
2,000064,130,11,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,1,0,0,0,0,pssch_fail
2,000064,131,12,21,,leader_to_rsu,2000,1,1,0,0,0,0,1,0,0,0,0,1,application_received
2,000064,132,12,4,,member_to_leader,2768,0,0,0,0,0,0,0,0,0,0,0,0,planned_only
2,000064,133,4,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,0,0,0,0,0,rlc_tx_no_rx
2,000064,134,7,4,,member_to_leader,2192,1,0,0,0,0,0,0,1,0,0,0,0,pssch_fail
2,000064,135,4,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,1,0,0,0,0,pssch_fail
2,000064,136,10,20,,member_to_leader,1808,1,0,0,0,0,0,0,0,0,0,0,0,rlc_tx_no_rx
2,000064,137,20,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,1,0,0,0,0,pssch_fail
