scenario_id,timestamp,receiver_id,receiver_policy,coperception_yaml,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,sgcp_frame_mbps_budget,sgcp_frame_budget_bytes,sgcp_frame_budget_original_bytes,sgcp_frame_budget_admitted_bytes,max_senders_per_receiver,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000072,10,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,seac_social_adaptive,5,,7;10;13;19,10;7;13,7;13,"{""7"": 37, ""13"": 37}","{""7"": 4798, ""10"": 4930, ""13"": 4700}",151968,42.69632925472747,10,40.0,100.0,200.0,2500000,726144,726144,1,ns3,899,0.5,10,12,28,,,[],[],7>10:3;13>10:7,,22,40,
2026_07_15_01_26_56,000072,17,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,seac_social_adaptive,5,,3;15;17;18,17;3;18,3;18,"{""3"": 37, ""18"": 37}","{""3"": 3073, ""17"": 4977, ""18"": 4736}",124944,42.14460511679644,10,40.0,100.0,200.0,2500000,726144,726144,1,ns3,899,0.5,10,12,28,,,[],[],3>17:4;18>17:9,,9,16,
2026_07_15_01_26_56,000074,1,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,seac_social_adaptive,5,,1;2;8;11,1;2;11,2;11,"{""2"": 37, ""11"": 37}","{""1"": 4931, ""2"": 4334, ""11"": 4782}",145856,42.553948832035594,10,40.0,100.0,200.0,2500000,733184,733184,1,ns3,899,0.5,10,12,28,,,[],[],2>1:0;11>1:8,,27,39,
2026_07_15_01_26_56,000074,4,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,seac_social_adaptive,5,,4;6;12;14,4;14;12,14;12,"{""12"": 37, ""14"": 37}","{""4"": 4850, ""12"": 4806, ""14"": 4903}",155344,43.63070077864294,10,40.0,100.0,200.0,2500000,733184,733184,1,ns3,899,0.5,10,12,28,,,[],[],12>4:6;14>4:1,,14,35,
2026_07_15_01_26_56,000074,5,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,seac_social_adaptive,5,,5;9;16;20,5;9;16,9;16,"{""9"": 37, ""16"": 37}","{""5"": 4914, ""9"": 4436, ""16"": 4780}",147456,42.53615127919911,10,40.0,100.0,200.0,2500000,733184,733184,1,ns3,899,0.5,10,12,28,,,[],[],9>5:2;16>5:5,,19,30,
2026_07_15_01_26_56,000074,10,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,seac_social_adaptive,5,,7;10;13;19,10;7;13,7;13,"{""7"": 37, ""13"": 37}","{""7"": 4802, ""10"": 4948, ""13"": 4683}",151760,42.73192436040044,10,40.0,100.0,200.0,2500000,733184,733184,1,ns3,899,0.5,10,12,28,,,[],[],7>10:3;13>10:7,,23,40,
2026_07_15_01_26_56,000074,17,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,seac_social_adaptive,5,,3;15;17;18,17;3;18,3;18,"{""3"": 37, ""18"": 37}","{""3"": 3591, ""17"": 4954, ""18"": 4707}",132768,41.88654060066741,10,40.0,100.0,200.0,2500000,733184,733184,1,ns3,899,0.5,10,12,28,,,[],[],3>17:4;18>17:9,,9,16,
2026_07_15_01_26_56,000076,1,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,seac_social_adaptive,5,,1;2;8;11,1;2;11,2;11,"{""2"": 37, ""11"": 37}","{""1"": 4934, ""2"": 4340, ""11"": 4782}",145952,42.553948832035594,10,40.0,100.0,200.0,2500000,737856,737856,1,ns3,899,0.5,10,12,28,,,[],[],2>1:0;11>1:8,,28,41,
2026_07_15_01_26_56,000076,4,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,seac_social_adaptive,5,,4;6;12;14,4;14;12,14;12,"{""12"": 37, ""14"": 37}","{""4"": 4853, ""12"": 4797, ""14"": 4904}",155216,43.63959955506118,10,40.0,100.0,200.0,2500000,737856,737856,1,ns3,899,0.5,10,12,28,,,[],[],12>4:5;14>4:1,,12,33,
2026_07_15_01_26_56,000076,5,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,seac_social_adaptive,5,,5;9;16;20,5;16;20,16;20,"{""16"": 37, ""20"": 37}","{""5"": 4910, ""16"": 4659, ""20"": 4851}",152160,43.16796440489433,10,40.0,100.0,200.0,2500000,737856,737856,1,ns3,899,0.5,10,12,28,,,[],[],16>5:2;20>5:6,,21,29,
