line_no,frame_index,event,rnti,lcid,source_node,target_node,request_id,sn,fi,size,harq_id,bwp_id,layer,vr_ur,vr_uh,timestamp,area_id,upload_type,plan_index,pkt_id,matched
1603,2,RX,16,5,5,16,2,6,3,400,,,,,,000064,11_8,member_to_leader,94,94,1
1618,2,TX,2,5,2,1,25,5,3,83,10,0,0,,,000064,14_10,leader_to_rsu,117,117,1
1622,2,TX,3,5,3,21,7,5,3,211,10,0,0,,,000064,15_8,member_to_leader,99,99,1
1626,2,TX,5,5,5,16,2,9,3,400,9,0,0,,,000064,11_8,member_to_leader,94,94,1
1630,2,TX,13,5,13,1,23,5,3,83,10,0,0,,,000064,13_0,leader_to_rsu,115,115,1
1634,2,TX,14,5,14,1,24,4,3,400,10,0,0,,,000064,14_1,leader_to_rsu,116,116,1
1638,2,TX,19,5,19,1,26,4,3,400,10,0,0,,,000064,11_5,leader_to_rsu,118,118,1
1642,2,TX,21,5,21,1,18,4,3,400,10,0,0,,,000064,11_8,leader_to_rsu,110,110,1
1747,2,RX,1,5,13,1,23,3,3,400,,,,,,000064,13_0,leader_to_rsu,115,115,1
1748,2,RX,1,5,9,1,20,4,3,400,,,,,,000064,12_3,leader_to_rsu,112,112,1
1749,2,RX,1,5,3,1,17,3,3,400,,,,,,000064,11_7,leader_to_rsu,109,109,1
1750,2,RX,1,5,2,1,25,3,3,400,,,,,,000064,14_10,leader_to_rsu,117,117,1
1751,2,RX,16,5,5,16,2,7,3,400,,,,,,000064,11_8,member_to_leader,94,94,1
1763,2,TX,3,5,3,1,17,5,3,83,11,0,0,,,000064,11_7,leader_to_rsu,109,109,1
1767,2,TX,5,5,5,16,2,10,3,400,10,0,0,,,000064,11_8,member_to_leader,94,94,1
1771,2,TX,14,5,14,17,1,6,3,400,11,0,0,,,000064,12_9,member_to_leader,93,93,1
1775,2,TX,19,5,19,14,5,6,3,19,11,0,0,,,000064,16_5,member_to_leader,97,97,1
1779,2,TX,21,5,21,12,3,6,3,400,11,0,0,,,000064,15_2,member_to_leader,95,95,1
1878,2,RX,1,5,19,1,26,3,3,400,,,,,,000064,11_5,leader_to_rsu,118,118,1
1879,2,RX,1,5,9,1,20,5,3,83,,,,,,000064,12_3,leader_to_rsu,112,112,1
1880,2,RX,4,5,13,4,8,4,3,387,,,,,,000064,13_2,member_to_leader,100,100,1
1881,2,RX,16,5,5,16,2,8,3,400,,,,,,000064,11_8,member_to_leader,94,94,1
1882,2,RX,20,5,2,20,9,4,3,3,,,,,,000064,15_3,member_to_leader,101,101,1
1897,2,TX,5,5,5,16,2,11,3,400,11,0,0,,,000064,11_8,member_to_leader,94,94,1
1901,2,TX,14,5,14,1,24,5,3,83,12,0,0,,,000064,14_1,leader_to_rsu,116,116,1
