scenario_id,timestamp,method,budget,planned_areas,selected_agents,non_ego_agents,non_ego_count,area_agent_rows,slice_points,slice_bytes
2026_07_15_02_33_21,000076,comm_aware_topk,5,30,1;4;12;10;11,4;12;10;11,4,120,8694,139104
2026_07_15_02_33_21,000076,area_aware_union,5,30,1;12;10;20;14,12;10;20;14,4,120,6527,104432
2026_07_15_02_33_21,000076,full,10,30,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,570,26664,426624
2026_07_15_02_33_21,000076,random,10,30,1;2;6;17;20;9;11;18;3;4,2;6;17;20;9;11;18;3;4,9,270,9947,159152
2026_07_15_02_33_21,000076,confidence_topk,10,30,1;12;4;13;10;20;9;7;16;11,12;4;13;10;20;9;7;16;11,9,270,17088,273408
2026_07_15_02_33_21,000076,comm_aware_topk,10,30,1;4;12;10;11;13;20;2;9;7,4;12;10;11;13;20;2;9;7,9,270,17481,279696
2026_07_15_02_33_21,000076,area_aware_union,10,30,1;12;10;20;14;13;7;11;4;8,12;10;20;14;13;7;11;4;8,9,270,17618,281888
2026_07_15_02_33_21,000078,full,5,30,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,570,26444,423104
2026_07_15_02_33_21,000078,random,5,30,1;9;18;19;14,9;18;19;14,4,120,2883,46128
2026_07_15_02_33_21,000078,confidence_topk,5,30,1;4;13;12;10,4;13;12;10,4,120,6902,110432
2026_07_15_02_33_21,000078,comm_aware_topk,5,30,1;4;12;10;11,4;12;10;11,4,120,8658,138528
2026_07_15_02_33_21,000078,area_aware_union,5,30,1;10;12;20;14,10;12;20;14,4,120,6434,102944
2026_07_15_02_33_21,000078,full,10,30,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,570,26444,423104
2026_07_15_02_33_21,000078,random,10,30,1;9;5;15;14;16;19;20;2;7,9;5;15;14;16;19;20;2;7,9,270,13451,215216
2026_07_15_02_33_21,000078,confidence_topk,10,30,1;4;13;12;10;20;9;7;11;16,4;13;12;10;20;9;7;11;16,9,270,16823,269168
2026_07_15_02_33_21,000078,comm_aware_topk,10,30,1;4;12;10;11;13;20;9;2;7,4;12;10;11;13;20;9;2;7,9,270,17362,277792
2026_07_15_02_33_21,000078,area_aware_union,10,30,1;10;12;20;14;13;7;11;4;8,10;12;20;14;13;7;11;4;8,9,270,17424,278784
2026_07_15_02_33_21,000080,full,5,30,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,570,25732,411712
2026_07_15_02_33_21,000080,random,5,30,1;13;11;16;9,13;11;16;9,4,120,5625,90000
2026_07_15_02_33_21,000080,confidence_topk,5,30,1;4;13;12;10,4;13;12;10,4,120,6857,109712
2026_07_15_02_33_21,000080,comm_aware_topk,5,30,1;4;12;10;11,4;12;10;11,4,120,8637,138192
2026_07_15_02_33_21,000080,area_aware_union,5,30,1;10;12;20;14,10;12;20;14,4,120,5791,92656
2026_07_15_02_33_21,000080,full,10,30,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,570,25732,411712
2026_07_15_02_33_21,000080,random,10,30,1;2;10;3;11;17;13;15;8;20,2;10;3;11;17;13;15;8;20,9,270,11417,182672
2026_07_15_02_33_21,000080,confidence_topk,10,30,1;4;13;12;10;20;9;7;11;16,4;13;12;10;20;9;7;11;16,9,270,16158,258528
2026_07_15_02_33_21,000080,comm_aware_topk,10,30,1;4;12;10;11;13;20;2;9;7,4;12;10;11;13;20;2;9;7,9,270,16670,266720
2026_07_15_02_33_21,000080,area_aware_union,10,30,1;10;12;20;14;13;7;11;4;16,10;12;20;14;13;7;11;4;16,9,270,13756,220096
