line_no,frame_index,event,rnti,lcid,source_node,target_node,request_id,sn,fi,size,harq_id,bwp_id,layer,vr_ur,vr_uh,timestamp,area_id,upload_type,plan_index,pkt_id,matched
3378,2,TX,5,5,5,1,131,7,0,2083,11,0,0,,,000064,,leader_to_rsu,131,131,1
3401,2,RX,1,5,5,1,131,7,0,2083,,,,,,000064,,leader_to_rsu,131,131,1
3402,2,TX,21,5,21,12,126,5,2,4,9,0,0,,,000064,,member_to_leader,126,126,1
3403,2,TX,20,5,20,2,124,5,2,4,9,0,0,,,000064,,member_to_leader,124,124,1
3426,2,RX,12,5,21,12,126,5,2,4,,,,,,000064,,member_to_leader,126,126,1
3449,2,RX,2,5,20,2,124,5,2,4,,,,,,000064,,member_to_leader,124,124,1
3450,2,TX,14,5,14,17,93,9,2,8,4,0,0,,,000064,,member_to_leader,93,93,1
3473,2,RX,17,5,14,17,93,9,2,8,,,,,,000064,,member_to_leader,93,93,1
3581,3,TX,14,5,14,1,168,2,0,2083,3,0,0,,,000066,,leader_to_rsu,168,168,1
3582,3,TX,20,5,20,1,144,4,0,2083,11,0,0,,,000066,,leader_to_rsu,144,144,1
3583,3,TX,2,5,2,1,143,6,0,2083,9,0,0,,,000066,,leader_to_rsu,143,143,1
3584,3,TX,14,5,14,17,138,10,1,4069,0,0,0,,,000066,,member_to_leader,138,138,1
3585,3,TX,5,5,5,16,155,4,0,3446,12,0,0,,,000066,,member_to_leader,155,155,1
3586,3,TX,2,5,2,1,152,7,0,2083,10,0,0,,,000066,,leader_to_rsu,152,152,1
3629,3,TX,20,5,20,2,151,6,1,4069,10,0,0,,,000066,,member_to_leader,151,151,1
3630,3,TX,16,5,16,1,156,8,0,2083,11,0,0,,,000066,,leader_to_rsu,156,156,1
3631,3,TX,9,5,9,1,162,2,0,2083,2,0,0,,,000066,,leader_to_rsu,162,162,1
3689,3,RX,1,5,20,1,144,4,0,2083,,,,,,000066,,leader_to_rsu,144,144,1
3699,3,TX,14,5,14,17,138,11,3,4069,5,0,0,,,000066,,member_to_leader,138,138,1
3700,3,TX,21,5,21,1,146,2,0,2083,10,0,0,,,000066,,leader_to_rsu,146,146,1
3701,3,TX,19,5,19,16,181,2,0,2403,11,0,0,,,000066,,member_to_leader,181,181,1
3702,3,TX,4,5,4,1,141,6,0,2083,6,0,0,,,000066,,leader_to_rsu,141,141,1
3703,3,TX,9,5,9,19,149,0,0,851,3,0,0,,,000066,,member_to_leader,149,149,1
3800,3,TX,5,5,5,1,154,8,0,2083,13,0,0,,,000066,,leader_to_rsu,154,154,1
3801,3,TX,20,5,20,2,171,7,3,705,13,0,0,,,000066,,member_to_leader,171,171,1
3802,3,TX,3,5,3,21,145,2,0,2563,11,0,0,,,000066,,member_to_leader,145,145,1
3803,3,TX,12,5,12,1,174,2,0,2083,2,0,0,,,000066,,leader_to_rsu,174,174,1
3900,3,TX,21,5,21,3,165,2,0,3123,11,0,0,,,000066,,member_to_leader,165,165,1
3901,3,TX,19,5,19,14,167,1,0,2131,13,0,0,,,000066,,member_to_leader,167,167,1
